pass unit tests,21.651065,30.376638,11,11,0,11,11,11,9
asctec base,189.195246,250.985432,57,35,22,46,49,38,12
water sampler,24.941281,29.612925,30,0,30,28,9,9,7
crop surveying,131.335392,208.027918,3,3,0,3,3,3,3
cob external,20.857220,23.236865,0,0,0,0,0,0,0
cob common,34.086843,25.875169,0,0,0,0,0,0,0
shcunk modular,fail
